ReactionID	Kcat	Kmax
AMAOTr	0.28	0.001
RBFSb	8.2	0.03
MOHMT	6.9	0.03
METAT	1.5	0.01
MDH	1035	7.2
KDOPS	100	0.72
RHCCE	0.40	0.003
AHCYSNS	2.6	0.03
DHPS2	15	0.2
NADS1	3.5	0.05
ACODA	1800	26
AOXSr2	0.060	0.001
GLUTRS	3.4	0.09
MECDPS	2.7	0.09
PANTS	1.4	0.05
DHORTS	181	6.8
PDX5POi	0.76	0.03
P5CR	717	32
UDCPDPS	2.5	0.14
DHDPRy	382	27
PTPATi	19	1.6
UPP3S	12	1
METS	3.5	0.31
SERAT	772	76
ICDHyr	106	11
ENO	396	48
ASP1DC	0.57	0.07
PRAIi	40	5
GF6PTA	17	2.2
THDPS	36	4.7
CHRPL	1.7	0.23
UAGDP	330	47
IPMD	69	10
OCTDPS	2.0	0.3
SHSL1	121	20
DXPRIi	38	6.5
PPC	540	93
PPBNGS	2.5	0.47
RBFSa	0.050	0.01
DHDPS	104	21
PSD160	33	6.7
GAPD	268	57
IMPD	16	3.6
CYTK1	103	24
PRASCSi	14	3.5
HPPK2	0.63	0.16
HISTD	12	3.1
GTPCI	0.075	0.02
PPND	71	22
KDOCT2	12	4.2
PPCDC	0.87	0.3
NADK	5.9	2.1
MEPCT	10	3.6
HSST	22	8
PPNDH	32	12
PGL	472	184
LPADSS	259	104
DXPS	2.6	1.1
PSSA160	34	15
ADSK	50	22
FACOAE120	200	88
PNTK	1.1	0.54
PGAMT	7.9	4
BTS5	0.004	0.002
MTHFR2	10	5.5
IGPS	9.3	5
GMPS2	8.9	5
PGI	126	71
GK1	74	42
DHFS	0.40	0.23
MTHFC	119	69
GHMT2r	10	6.5
PSCVT	32	21
CS	81	58
DHQTi	75	59
GND	55	44
GTPCII2	0.15	0.12
G3PD2	42	34
CTPS2	14	11
PPPGO3	0.28	0.24
OMPDC	28	24
UAGCVT	3.8	3.3
G6PDH2r	174	155
GLU5K	53	50
TPI	150	145
DAPE	84	84
DHPPDA2	0.32	0.32
HMBS	0.13	0.13
GLUPRT	112	121
CHORS	39	42
DHORD2	18	20
PMPK	0.43	0.5
DBTS	0.001	0.001
QULNS	0.38	0.46
ADSL2r	11	15
G5SD	10	14
PRAGSr	15	20
PRMICI	7.1	10
UGMDDS	11	16
NNDPR	0.59	0.91
AIRC3	16	26
GLUR	12	21
DTMPK	9.6	18
KDOPP	5.2	10
BPNT	11	22
TMPK	0.12	0.23
DHAD2	69	139
UAMAS	6.9	14
ADSS	1.6	3.3
ACGS	654	1366
UAPGR	20	43
3OAR140	0.59	1.3
AIRC2	130	309
DAPDC	33	81
PGCD	29	78
PRFGS	5.1	14
U23GAAT	9.1	36
MTHFD	16	69
UAMAGS	6.7	29
HSK	17	81
PSERT	1.8	8.3
PRAIS	4.1	20
GLUDy	37	185
DHQS	14	78
DB4PS	0.059	0.34
PFK	185	1112
UHGADA	3.3	21
UAAGDS	1.1	8
G1PACT	5.4	47
TMDS	0.74	7.4
GARFT	8.6	112
UAGPT3	0.72	17
