Condition,Growth,GrowthSTD
Cntrl,0.40405039662882125,0.0063637979742652544
Cntrl + aTC,0.39591045640808226,0.0061293003735034424
adk,0.23651753198737985,0.011775461520929176
adk + aTC,0.22452688382702635,0.010891521546844835
aroA,0.2353267887510572,0.011712576638390756
aroA + aTC,0.20042292596306416,0.009403261630048981
carA,0.6090077403139982,3.6972415494122524e-5
carA + aTC,0.46803084961384533,6.735474058925822e-5
cysH,0.6059985310867607,1.60474109514095e-5
cysH + aTC,0.46196603302904315,9.86110632951573e-5
dxs,0.41457325627588043,0.006659873857016754
dxs + aTC,0.40926913717146735,0.006472048347041869
eno,0.298671298275423,0.00907373119986419
eno + aTC,0.27280420024813734,0.007739139872594373
fbaA,0.29421161785836575,0.008808397722725366
fbaA + aTC,0.26605089660804315,0.007463182890238273
gapA,0.39252755567496195,0.005987041281833197
gapA + aTC,0.37997147317853625,0.005521227772478431
gdhA,0.3780408608819012,0.005588683704689615
gdhA + aTC,0.3660434972290125,0.005219536979800114
glmS,0.39069608966228475,0.005913350627952607
glmS + aTC,0.38840734619124373,0.005819568818246833
gltA,0.4164836491373088,0.006733746708846476
gltA + aTC,0.3980408018363406,0.006085600158381826
gnd,0.2264882820991708,0.011116979604175752
gnd + aTC,0.21842049775084552,0.010577546552115218
ilvC,0.42766428011845314,0.007145344627165352
ilvC + aTC,0.3645745479244057,0.005103848631531946
metE,0.33132014475440896,0.010914119378148616
metE + aTC,0.2616638646681886,0.007269335766889269
pck ,0.30992791143818244,0.00968541821869019
pck + aTC,0.3241697084067041,0.01043329188926775
pfkA,0.22623656503268458,0.011110655102793614
pfkA + aTC,0.2118753505778232,0.01010801670444346
pfkB,0.389165407554921,0.005858413377406133
pfkB + aTC,0.39212016682782747,0.005928710148854168
pgi,0.3733916636364363,0.005390212929862552
pgi + aTC,0.39910673755821424,0.006114975883198757
ppc,0.36883410217173046,0.005293012343029764
ppc + aTC,0.3224814371419281,0.004111544535744438
prs,0.29091624817955664,0.008688296942765045
prs + aTC,0.25668788096498857,0.0070632228426881025
ptsH ,0.40526768297460514,0.006330970412363517
ptsH + aTC,0.28387559566236253,0.0033551382210486396
purB,0.31390931555917045,0.009906711465747656
purB + aTC,0.29336569960631836,0.008722804018939581
purC,0.38166432692205293,0.005596514251714185
purC + aTC,0.39166087944980843,0.005888948916353328
pykA,0.30774459270684484,0.009417344658803057
pykA + aTC,0.311980855306362,0.009663988248120484
pykF,0.4066395973611677,0.006385331746006513
pykF + aTC,0.42191968123414775,0.006892075666934846
pyrF,0.41762796459217366,0.006746576158260843
pyrF + aTC,0.3969466596577164,0.006046677539016504
sdhC,0.40229729998779673,0.00623940374923073
sdhC + aTC,0.40260368223689535,0.006269394828948518
tpiA,0.3911721425662991,0.005877384806088269
tpiA + aTC,0.3858743893161295,0.005708953802713969
zwf,0.41146755820576375,0.0065565523272152985
zwf + aTC,0.38994173758901585,0.005863589520106837
